Start Time,End Time,Open,High,Low,Close,Vol,Vol-Avg,Range,POC,VA High,VA Low,VA Range,TPO T,TPO AB,TPO BL,SF,TFF,RF,VTY,Dist(s),Bracket UL,Bracket UO,Bracket UQ,Bracket MID,Bracket LQ,Bracket LO,Bracket LL,Q1 TPO,Q2 TPO,Q3 TPO,Q4 TPO,Datetime,ULBreakoutPL,ULBreakout
2003.12.30 00:00,2004.01.05 23:30,1.24894,1.26924,1.24679,1.2672700000000001,5868496,1173699,224.5,1.2589,1.2644,1.2512,132.0,2174,909,1194,0.76,3.81,55,16.5,1.0,1.2688,1.2661200000000001,1.26345,1.2581,1.25275,1.2500799999999999,1.2474,437,749,682,298,2004-01-05 23:30:00,53.49999999999966,1
2004.01.02 00:00,2004.01.08 23:30,1.2542,1.28083,1.2519799999999999,1.27635,6740403,1348081,288.5,1.2665,1.2708,1.2552,156.0,2427,1149,1225,0.94,3.32,41,18.3,1.0,1.2792,1.27585,1.2725,1.2658,1.2591,1.25575,1.2524,459,853,657,442,2004-01-08 23:30:00,66.99999999999928,1
2004.01.05 00:00,2004.01.09 23:30,1.25816,1.28665,1.25576,1.2812299999999999,6739174,1347835,308.9,1.2665,1.276,1.262,140.0,2458,1668,736,2.27,3.15,9,18.6,1.0,1.2858,1.28215,1.2785,1.2712,1.2639,1.26025,1.2566,233,902,939,373,2004-01-09 23:30:00,-73.00000000000084,2
2004.01.29 00:00,2004.02.04 23:30,1.24665,1.25967,1.23491,1.2532299999999998,6749278,1349856,247.6,1.2461,1.2514,1.2372,142.0,2642,1321,1258,1.05,4.23,9,20.0,1.0,1.2588,1.25595,1.2531,1.2474,1.2417,1.23885,1.236,565,529,947,588,2004-02-04 23:30:00,-56.99999999999816,2
2004.02.10 00:00,2004.02.16 23:30,1.26954,1.28898,1.26482,1.27671,6808045,1361609,241.6,1.2811,1.2836,1.2718,118.0,2346,498,1786,0.28,3.88,1,17.6,1.0,1.287,1.2843,1.2816,1.2762,1.2708,1.2681,1.2654,393,750,645,540,2004-02-16 23:30:00,-53.999999999998494,2
2004.03.11 00:00,2004.03.17 23:30,1.222,1.23831,1.2162,1.22316,6760404,1352081,221.1,1.2265,1.2286,1.2196,90.0,2854,1071,1708,0.63,5.1,25,21.9,1.0,1.2372,1.23468,1.23215,1.2271,1.22205,1.2195200000000002,1.217,343,606,1274,615,2004-03-17 23:30:00,50.499999999999986,1
2004.04.21 00:00,2004.04.27 23:30,1.18621,1.19456,1.17573,1.19223,6787919,1357584,188.3,1.1831,1.19,1.1818,82.0,2433,1685,674,2.5,5.12,4,18.5,1.0,1.1938,1.19165,1.1895,1.1852,1.1809,1.17875,1.1766,417,740,993,267,2004-04-27 23:30:00,-42.9999999999997,2
2004.04.23 00:00,2004.04.29 23:30,1.18985,1.19841,1.17573,1.1959799999999998,6792846,1358569,226.8,1.1835,1.1922,1.1818,104.0,2354,1658,642,2.58,4.09,24,17.9,1.0,1.1984,1.1956799999999999,1.19295,1.1875,1.18205,1.1793200000000001,1.1766,257,881,862,343,2004-04-29 23:30:00,-54.499999999999545,2
2004.04.27 00:00,2004.05.03 23:30,1.1860600000000001,1.20089,1.1802700000000002,1.19404,6799808,1359962,206.2,1.1931,1.1988,1.1876,112.0,2328,1027,1258,0.82,4.48,-15,17.5,1.0,1.2002,1.1977,1.1952,1.1902,1.1852,1.1827,1.1802,701,736,419,464,2004-05-03 23:30:00,49.999999999998934,1
2004.05.10 00:00,2004.05.14 23:30,1.18648,1.19402,1.17708,1.18825,6833937,1366787,169.4,1.1861,1.188,1.1808,72.0,2544,949,1522,0.62,5.92,18,19.2,1.0,1.1932,1.1913200000000002,1.18945,1.1857,1.18195,1.18008,1.1782,314,818,924,474,2004-05-14 23:30:00,37.50000000000142,1
